,id,status,viralParams,pop,tau,phase
0,0,R,R,"[0.9453741145869134, 0.9453741145869134, 0.9951306469335931, 0.9951306469335931, 0.9951306469335931, 0.9951306469335931, 0.9951306469335931, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 0.995130646933593, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 0.8981054088575676, 0.9453741145869133, 0.995130646933593, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 0.995130646933593, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.0475059441406243, 1.0475059441406245, 1.0475059441406245, 0.9951306469335931, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.0475059441406243, 1.0475059441406243, 0.9951306469335931, 1.0475059441406243, 1.1606714062499994, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 0.8532001384146893, 0.8981054088575677, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 0.995130646933593, 1.0475059441406243, 1.0475059441406243, 0.9951306469335931, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 0.995130646933593, 0.995130646933593, 0.995130646933593, 0.995130646933593, 0.995130646933593, 0.995130646933593, 0.8532001384146894, 0.810540131493955, 0.8532001384146894, 0.8532001384146894, 0.810540131493955, 0.9453741145869136, 0.9453741145869136, 0.8981054088575678, 0.8981054088575678, 0.9453741145869136, 0.9453741145869136, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 0.9951306469335932, 0.9453741145869136, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 0.9453741145869136, 0.810540131493955]",40.0,39.0
1,1,S,,[],0.0,92.0
2,2,S,,[],0.0,11.0
3,3,S,,[],0.0,28.0
4,4,S,,[],0.0,117.0
5,5,S,,[],0,0
6,6,S,,[],0,0
7,7,S,,[],0.0,26.0
8,8,S,,[],0.0,90.0
9,9,S,,[],0,0
